INFO 2026-06-13 21:42:15,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:42:15,817 imageservice GET /favicon.ico | user=Anonymous | ip=172.18.0.1 | time=0.003s | status=404
INFO 2026-06-13 21:42:16,112 imageservice GET /favicon.ico | user=admin1 | ip=172.18.0.1 | time=0.005s | status=404
INFO 2026-06-13 21:42:30,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:42:41,442 imageservice GET /api/images/70/ | user=Anonymous | ip=172.18.0.1 | time=0.011s | status=200
INFO 2026-06-13 21:42:41,447 imageservice GET /media/images/I_lAgChcH._V._Stalin.jpg | user=Anonymous | ip=172.18.0.1 | time=0.000s | status=200
INFO 2026-06-13 21:42:45,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:43:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:43:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:43:30,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:43:45,025 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.009s | status=200
INFO 2026-06-13 21:44:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:44:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:44:30,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:44:45,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:44:46,969 imageservice GET / | user=admin1 | ip=172.18.0.1 | time=0.001s | status=200
INFO 2026-06-13 21:44:50,081 imageservice GET /upload/ | user=admin1 | ip=172.18.0.1 | time=0.002s | status=200
INFO 2026-06-13 21:45:00,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.007s | status=200
INFO 2026-06-13 21:45:00,448 imageservice.views Upload request received
INFO 2026-06-13 21:45:00,461 imageservice.views Image uploaded successfully id=73 filename=images/I_Qsrd3df._V._Stalin.jpg
INFO 2026-06-13 21:45:00,465 imageservice POST /upload/ | user=admin1 | ip=172.18.0.1 | time=0.015s | status=302
INFO 2026-06-13 21:45:00,480 imageservice.views Image list viewed. Count=13
INFO 2026-06-13 21:45:00,487 imageservice GET /images/ | user=admin1 | ip=172.18.0.1 | time=0.014s | status=200
INFO 2026-06-13 21:45:00,542 imageservice GET /media/images/I_Qsrd3df._V._Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.001s | status=200
INFO 2026-06-13 21:45:00,543 imageservice GET /media/images/I_kpZ0TFC.Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.001s | status=304
INFO 2026-06-13 21:45:00,545 imageservice GET /media/images/I.Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.001s | status=304
INFO 2026-06-13 21:45:00,549 imageservice GET /media/images/I_lAgChcH._V._Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.002s | status=304
INFO 2026-06-13 21:45:00,551 imageservice GET /media/images/depositphotos_24428661-stock-photo-abstract-spring-border-background-with_fbWKRw5.jpg | user=admin1 | ip=172.18.0.1 | time=0.002s | status=304
INFO 2026-06-13 21:45:00,551 imageservice GET /media/images/I._V._Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.002s | status=304
INFO 2026-06-13 21:45:00,581 imageservice GET /media/images/Mountains_iDbsguX.jpeg | user=admin1 | ip=172.18.0.1 | time=0.002s | status=304
INFO 2026-06-13 21:45:00,582 imageservice GET /media/images/selective-focus-shot-beautiful-tree-blooming-clear-sky_181624-9325_1s0Ww1t.avif | user=admin1 | ip=172.18.0.1 | time=0.000s | status=304
INFO 2026-06-13 21:45:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:45:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:45:45,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-14 12:56:36,507 imageservice GET /metrics | user=Anonymous | ip=172.18.0.2 | time=0.002s | status=200
INFO 2026-06-14 12:56:49,391 imageservice GET / | user=admin1 | ip=172.18.0.1 | time=0.012s | status=200
INFO 2026-06-14 12:56:49,516 imageservice GET /favicon.ico | user=admin1 | ip=172.18.0.1 | time=0.007s | status=404
INFO 2026-06-14 12:56:49,539 imageservice GET /favicon.ico | user=admin1 | ip=172.18.0.1 | time=0.006s | status=404
INFO 2026-06-14 12:56:51,500 imageservice GET /metrics | user=Anonymous | ip=172.18.0.2 | time=0.003s | status=200
INFO 2026-06-14 12:57:06,244 imageservice GET /favicon.ico | user=Anonymous | ip=172.18.0.1 | time=0.003s | status=404
INFO 2026-06-14 12:57:06,502 imageservice GET /metrics | user=Anonymous | ip=172.18.0.2 | time=0.004s | status=200
INFO 2026-06-14 12:57:08,438 imageservice GET /api/images/ | user=Anonymous | ip=172.18.0.1 | time=0.027s | status=200
INFO 2026-06-14 12:57:14,441 imageservice.views Image list viewed. Count=13
INFO 2026-06-14 12:57:14,449 imageservice GET /images/ | user=admin1 | ip=172.18.0.1 | time=0.018s | status=200
INFO 2026-06-14 12:57:14,514 imageservice GET /media/images/I_Qsrd3df._V._Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.004s | status=304
INFO 2026-06-14 12:57:14,515 imageservice GET /media/images/I_kpZ0TFC.Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.001s | status=304
INFO 2026-06-14 12:57:14,521 imageservice GET /media/images/I._V._Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.001s | status=304
INFO 2026-06-14 12:57:14,522 imageservice GET /media/images/I.Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.004s | status=304
INFO 2026-06-14 12:57:14,522 imageservice GET /media/images/I_lAgChcH._V._Stalin.jpg | user=admin1 | ip=172.18.0.1 | time=0.001s | status=304
